job_title,salary_range,company_profile,requirements,fraudulent
Investment Opportunity Manager,$100 per task,Startup with guaranteed income and flexible hours.,"Good communication skills, internet connection required.",0
UX Designer,"$50,000 - $70,000",Leading IT solutions company with 10+ years of experience.,"Experience with Java, Spring Boot, and REST APIs.",1
Email Processor,$2000 per month,"Earn money easily by working from home, no registration fees.","No qualification needed, we train you for free!",0
Investment Opportunity Manager,$2000 per month,Simple online task-based business for extra income.,"No qualification needed, we train you for free!",0
Project Manager,"$50,000 - $70,000",Well-established healthcare data analytics organization.,"Experience with Java, Spring Boot, and REST APIs.",1
System Architect,"$70,000 - $90,000",Recognized financial services provider headquartered in New York.,Excellent communication and project management skills.,1
Customer Reward Agent,Earn $300 daily from home,Simple online task-based business for extra income.,Work at your own time and earn unlimited income.,0
Online Survey Filler,Earn $300 daily from home,Reputed organization hiring urgently for remote positions.,No experience required. Must have smartphone or laptop.,0
Investment Opportunity Manager,Negotiable,Startup with guaranteed income and flexible hours.,"Quick money-making job from home, join today.",0
Web Developer,"$40,000 - $60,000",Leading IT solutions company with 10+ years of experience.,Excellent communication and project management skills.,1
Data Analyst,"$50,000 - $70,000",Leading IT solutions company with 10+ years of experience.,Excellent communication and project management skills.,1
Network Administrator,"$50,000 - $70,000",Recognized financial services provider headquartered in New York.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
Software Engineer,"$50,000 - $70,000",A global software firm focusing on enterprise automation.,"Experience with Java, Spring Boot, and REST APIs.",1
Work From Home Associate,$100 per task,Startup with guaranteed income and flexible hours.,No experience required. Must have smartphone or laptop.,0
Software Engineer,"$120,000 - $150,000",Mid-sized e-commerce company serving international clients.,Excellent communication and project management skills.,1
Software Engineer,"$50,000 - $70,000",Recognized financial services provider headquartered in New York.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
Online Survey Filler,$5000 bonus after first month,"Earn money easily by working from home, no registration fees.","Good communication skills, internet connection required.",0
Data Entry Clerk,$800 - $1200 weekly,Startup with guaranteed income and flexible hours.,Work at your own time and earn unlimited income.,0
Investment Opportunity Manager,Earn $300 daily from home,Startup with guaranteed income and flexible hours.,"No qualification needed, we train you for free!",0
System Architect,"$90,000 - $110,000",Leading IT solutions company with 10+ years of experience.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
Work From Home Associate,Negotiable,Simple online task-based business for extra income.,"No qualification needed, we train you for free!",0
Software Engineer,"$50,000 - $70,000",Mid-sized e-commerce company serving international clients.,"Knowledge of AWS, Docker, and CI/CD tools. Team collaboration experience preferred.",1
Data Analyst,"$40,000 - $60,000",Mid-sized e-commerce company serving international clients.,Excellent communication and project management skills.,1
Mobile App Developer,"$90,000 - $110,000",Well-established healthcare data analytics organization.,"Knowledge of AWS, Docker, and CI/CD tools. Team collaboration experience preferred.",1
Part-Time Freelancer,$5000 bonus after first month,Fast-growing company offering remote opportunities worldwide.,"No qualification needed, we train you for free!",0
Crypto Analyst,$5000 bonus after first month,Simple online task-based business for extra income.,No experience required. Must have smartphone or laptop.,0
Email Processor,$2000 per month,"Earn money easily by working from home, no registration fees.",Work at your own time and earn unlimited income.,0
Crypto Analyst,$800 - $1200 weekly,"Earn money easily by working from home, no registration fees.","No qualification needed, we train you for free!",0
Part-Time Freelancer,$800 - $1200 weekly,Startup with guaranteed income and flexible hours.,"Good communication skills, internet connection required.",0
Online Survey Filler,Earn $300 daily from home,"Earn money easily by working from home, no registration fees.","No qualification needed, we train you for free!",0
Email Processor,$800 - $1200 weekly,Reputed organization hiring urgently for remote positions.,No experience required. Must have smartphone or laptop.,0
Online Survey Filler,Earn $300 daily from home,Simple online task-based business for extra income.,Work at your own time and earn unlimited income.,0
Work From Home Associate,$2000 per month,Simple online task-based business for extra income.,No experience required. Must have smartphone or laptop.,0
Mobile App Developer,"$40,000 - $60,000",Mid-sized e-commerce company serving international clients.,"Knowledge of AWS, Docker, and CI/CD tools. Team collaboration experience preferred.",1
System Architect,"$60,000 - $80,000",Well-established healthcare data analytics organization.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
Online Survey Filler,Earn $300 daily from home,"Earn money easily by working from home, no registration fees.","Quick money-making job from home, join today.",0
Online Survey Filler,Earn $300 daily from home,Fast-growing company offering remote opportunities worldwide.,"Quick money-making job from home, join today.",0
Mobile App Developer,"$120,000 - $150,000",A global software firm focusing on enterprise automation.,"Knowledge of AWS, Docker, and CI/CD tools. Team collaboration experience preferred.",1
Cloud Engineer,"$50,000 - $70,000",Well-established healthcare data analytics organization.,Excellent communication and project management skills.,1
Work From Home Associate,$100 per task,Simple online task-based business for extra income.,"Good communication skills, internet connection required.",0
Network Administrator,"$70,000 - $90,000",Mid-sized e-commerce company serving international clients.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
Part-Time Freelancer,Negotiable,"Earn money easily by working from home, no registration fees.","Quick money-making job from home, join today.",0
Customer Reward Agent,$2000 per month,Simple online task-based business for extra income.,"Quick money-making job from home, join today.",0
Work From Home Associate,$5000 bonus after first month,Fast-growing company offering remote opportunities worldwide.,Work at your own time and earn unlimited income.,0
Online Survey Filler,$800 - $1200 weekly,Simple online task-based business for extra income.,Work at your own time and earn unlimited income.,0
